term,coef,std_err,z,p_value,ci_low,ci_high,hazard_ratio
Intercept,-3.604265652756619,0.06592387652153538,-54.673144889761026,0.0,-3.733474076460094,-3.4750572290531436,0.02720741717063169
"C(occupancy_status, Treatment(reference='P'))[T.I]",0.09429517569319402,0.02695777632184354,3.497884045309325,0.00046896497851423637,0.041458904999094034,0.14713144638729403,1.0988840619144349
"C(occupancy_status, Treatment(reference='P'))[T.S]",-0.19258213502061478,0.03340657792010122,-5.764796845735442,8.175626113272462e-09,-0.25805782459074417,-0.12710644545048538,0.8248265682741317
"C(loan_purpose, Treatment(reference='P'))[T.C]",0.4379469145872445,0.015134205290412081,28.937556097821368,4.024732210502059e-184,0.40828441728340126,0.46760941189108773,1.5495226481867925
"C(loan_purpose, Treatment(reference='P'))[T.N]",0.2703863426488169,0.018092862253321854,14.94436528964199,1.694984283379362e-50,0.23492498425506186,0.3058477010425719,1.3104706436446585
"C(channel, Treatment(reference='R'))[T.B]",0.19856995593853016,0.03419139149527733,5.807600897610662,6.337436116041021e-09,0.1315560600264775,0.26558385185058286,1.2196573467042946
"C(channel, Treatment(reference='R'))[T.C]",-0.23405773963536755,0.031071314293902762,-7.5329204751823955,4.9617833066818355e-14,-0.29495639660374157,-0.17315908266699356,0.7913161242720118
"C(channel, Treatment(reference='R'))[T.T]",0.30717311722319735,0.013860603645444522,22.161597364783894,8.063906601461461e-109,0.2800068332741415,0.3343394011722532,1.3595763137763612
"cr(loan_age, df=5)[0]",-1.9171322869452103,0.03533179002066167,-54.26083099169589,0.0,-1.9863813228950389,-1.8478832509953818,0.14702799223780405
"cr(loan_age, df=5)[1]",-0.3427577505244131,0.03352132923647251,-10.225064409184565,1.531261279185512e-24,-0.40845834854180874,-0.27705715250701746,0.7098101418689883
"cr(loan_age, df=5)[2]",-0.5917073932081021,0.032742138432589565,-18.071739401698697,5.320938533608429e-73,-0.6558808053128024,-0.5275339811034018,0.5533816376189454
"cr(loan_age, df=5)[3]",0.04491713888892335,0.03701619087370749,1.2134457335756792,0.22495945006046392,-0.02763326206840358,0.11746753984625027,1.0459411884689234
"cr(loan_age, df=5)[4]",-0.7975853609678181,0.12706107559640042,-6.2771809322729615,3.4476680160545924e-10,-1.046620492973684,-0.548550228961952,0.4504152423293606
fico_s,-0.9256960299087966,0.00920506746780613,-100.56374199823442,0.0,-0.943737630620958,-0.9076544291966353,0.39625551737659465
dti_s,0.2312888792744636,0.005595307871189428,41.3362203830434,0.0,0.22032227736451884,0.24225548118440834,1.2602232392457169
ltv10,0.3225060594897164,0.0032363514283831026,99.65112461561137,0.0,0.31616292724877076,0.328849191730662,1.3805832564642728
uer_lag1,0.09496308546677008,0.003081229955925172,30.81986311477892,1.4200859090000785e-208,0.0889239857250708,0.10100218520846936,1.0996182624819877
delta_uer_lag1,0.6670829947667035,0.022436623672054228,29.731879649859433,2.974378211247076e-194,0.6231080204347984,0.7110579690986086,1.9485451062902743
hpi_growth_lag1,-3.344206191188119,0.4758697165642269,-7.027566736822935,2.1016629582185667e-12,-4.276893696987287,-2.4115186853889505,0.035288216139357724
