year,n,n_events,observed_hazard,predicted_hazard,ratio_obs_over_pred
2017,1956922,1126,0.0005753933984083168,0.0005363326445995455,1.0728293423905533
2018,2002022,727,0.00036313287266573493,0.00048694615029943553,0.7457351751162532
2019,2389124,785,0.00032857231353416566,0.0004446801710051465,0.7388958063757759
2020,2436582,8698,0.003569754680942402,0.0016017355846436123,2.2286791372851193
2021,2192764,1546,0.0007050462338856348,0.0005555495524532963,1.2690969343277552
2022,2340541,953,0.0004071708207632338,0.0003097031989025734,1.3147129968499998
2023,2749185,1231,0.0004477690661050457,0.00033101881106098333,1.3526997594784833
2024,3158151,1757,0.0005563381864894997,0.0003873921990103589,1.4361109694793395
2025,2593551,1486,0.0005729596217695353,0.00043132095105400157,1.3283834702891595
