year,n,n_events,observed_hazard,predicted_hazard,ratio_obs_over_pred
2017,1956922,1126,0.0005753933984083168,0.0004027437269447643,1.4286837011051225
2018,2002022,727,0.00036313287266573493,0.00036863283572156105,0.9850801053979348
2019,2389124,785,0.00032857231353416566,0.00033562294292918384,0.9789924093583022
2020,2436582,8698,0.003569754680942402,0.0029358670166806035,1.2159115725134222
2021,2192764,1546,0.0007050462338856348,0.0012353004384443632,0.5707487927175939
2022,2340541,953,0.0004071708207632338,0.00021671238934928147,1.878853451737755
2023,2749185,1231,0.0004477690661050457,0.0002455069662706681,1.823854829485312
2024,3158151,1757,0.0005563381864894997,0.0002851767152287886,1.9508541784106268
2025,2593551,1486,0.0005729596217695353,0.0003194241949586035,1.7937264327888165
