uer_q,observed,predicted,n
Q1 (lowest),0.0004285196897896579,0.0003033034463306709,6013726
Q2,0.0004967943708895414,0.0003416964673472239,5438870
Q3,0.000439030874907595,0.0003747695103811003,4077162
Q4 (highest),0.0019172633035057464,0.018846238284250274,5092154
