year,n,n_events,observed_hazard,predicted_hazard,ratio_obs_over_pred
2017,1956922,1126,0.0005753933984083168,0.0004591362818274618,1.2532082982380013
2018,2002022,727,0.00036313287266573493,0.00043106675049245103,0.8424052011687091
2019,2389124,785,0.00032857231353416566,0.00038225271881509444,0.8595682839161298
2020,2436582,8698,0.003569754680942402,0.05801275339530602,0.06153396403404016
2021,2192764,1546,0.0007050462338856348,0.0002792190802600258,2.525064666888283
2022,2340541,953,0.0004071708207632338,0.00022723350626812762,1.791860837119621
2023,2749185,1231,0.0004477690661050457,0.0002746266974902152,1.6304644457263644
2024,3158151,1757,0.0005563381864894997,0.0003209914534264545,1.7331869137038187
2025,2593551,1486,0.0005729596217695353,0.00035368704787508616,1.6199621253077128
