vintage,n_loans,realized_cum_d90,predicted_cum_d90_frozen,predicted_cum_d90_actual,miss_ratio_frozen,miss_ratio_actual
2005,1500,0.03,0.0029550054024178873,0.0020698043262289863,10.15226570328872,14.494123729395008
2006,1225,0.029387755102040815,0.006603096394325523,0.004696687500567154,4.45060216405377,6.257123791713215
2007,1530,0.025490196078431372,0.011143585966070025,0.007928627562475012,2.287432084792443,3.2149569238278506
2008,1577,0.020291693088142042,0.01705563911908838,0.011889370849114718,1.1897351337266469,1.7067087355301866
2009,3462,0.01097631426920855,0.016314542728188962,0.011386782731229696,0.6727932527488624,0.9639522003967473
2010,4380,0.007990867579908675,0.019247936887865167,0.013500276311063177,0.41515449819177797,0.5919040022432975
2014,10264,0.009937646141855027,0.013380048080006753,0.009403317500670832,0.7427212579829543,1.056823418027316
2015,14465,0.008987210508123056,0.012029353223757979,0.00842187594939221,0.7471067098082473,1.067126915918495
2016,17763,0.008050441929854192,0.012720454256833498,0.008915081103098093,0.6328737769352419,0.9030138746641992
2018,13859,0.015657695360415613,0.018223790545166783,0.01306460104477426,0.8591898223154383,1.198482472350625
2019,19702,0.015023855446147599,0.019478376429125942,0.013980706966215407,0.7713094312974917,1.0746134285235343
2020,38966,0.007878663450187343,0.017613370252510117,0.012463944195732204,0.4473115217154161,0.6321163932108335
2021,45145,0.013246206667405029,0.021200433300633575,0.015047402520154182,0.6248082989421337,0.8802985531664572
ALL,173838,0.011608509071664424,0.01733963868732328,0.012290078358215651,0.6694781408652541,0.944543129288056
