vintage,n_loans,realized_cum_d90,predicted_cum_d90_frozen,predicted_cum_d90_actual,miss_ratio_frozen,miss_ratio_actual
2005,39420,0.06648909183155759,0.002975779517342541,0.008979536035840618,22.34342008339862,7.404513057932532
2006,43130,0.09188499884071412,0.009937320967895237,0.03817527656177884,9.24645577390218,2.4069242482635884
2007,41685,0.10281875974571189,0.014575722810693867,0.08950206950492358,7.054110528932134,1.1487863947107475
ALL,124235,0.08749547229041735,0.009284749766834936,0.046133269657947416,9.423568161519073,1.8965807743337444
