vintage,n_loans,realized_cum_d90,predicted_cum_d90_frozen,predicted_cum_d90_actual,miss_ratio_frozen,miss_ratio_actual
2005,2697,0.04412309974045235,0.004577095762452143,0.6250232463465566,9.639977407161293,0.07059433388816297
2006,2146,0.05591798695246971,0.00996636493517859,0.7306497737797101,5.610670220904138,0.07653186103541984
2007,2467,0.07336846372111877,0.01650997945943568,0.776277768759535,4.443885826834732,0.09451315839993593
2008,2553,0.05836271053662358,0.017056020402409246,0.7759960432496965,3.421824620260161,0.07521006201554031
2009,5913,0.033147302553695246,0.01190318490559579,0.7598200497166647,2.7847423035588075,0.043625201211860365
2010,7540,0.02493368700265252,0.010882981565549033,0.7278003899947629,2.291071325672566,0.03425896350898072
2014,20544,0.03616627725856698,0.006481325637998235,0.6922486013514769,5.580074089555693,0.05224463753044723
2015,29512,0.038221740309026836,0.007416126369745669,0.7282842292289513,5.153868529661749,0.05248190030078358
2016,35806,0.04367983019605653,0.009516649028974238,0.7611285591177949,4.589833045546769,0.05738824233147253
2018,40586,0.05597989454491697,0.010040776558348665,0.6850383729773473,5.575255481446903,0.08171789603787363
2019,43544,0.051304427705309574,0.009354742413551132,0.6970182203164766,5.484322863982956,0.07360557616702634
ALL,193308,0.04600947710389637,0.009198148398939846,0.7151895709255173,5.00203683484812,0.06433186245201551
