vintage,n_loans,realized_cum_d90,predicted_cum_d90_frozen,predicted_cum_d90_actual,miss_ratio_frozen,miss_ratio_actual
2005,29601,0.06753150231411101,0.026829022475832614,0.022493307463544613,2.517106330465185,3.002293123123879
2006,27384,0.10213993572889278,0.061929920912442635,0.05268940170505807,1.6492825152045585,1.9385290480360031
2007,31792,0.1080460493205838,0.08383756673945401,0.07101166355848466,1.28875459442142,1.5215253932418848
2008,36941,0.06193660160796947,0.0677338489384025,0.05672847033579527,0.914411370071335,1.0918080681771514
2009,40260,0.009538002980625931,0.038759815094841624,0.03151402050214554,0.2460796821988788,0.3026590333015924
ALL,165978,0.06568942871946884,0.05553775223045237,0.04657626110967737,1.182788753259087,1.4103628576966267
