vintage,n_loans,realized_cum_d90,predicted_cum_d90_frozen,predicted_cum_d90_actual,miss_ratio_frozen,miss_ratio_actual
2005,5804,0.0339421088904204,0.013817649723038216,0.014262880063354477,2.4564314171192665,2.3797514064237024
2006,4514,0.04209127159946832,0.025544172201856608,0.02611632966337492,1.6477837397451085,1.6116840360801685
2007,5054,0.047685001978630785,0.03468831371547777,0.03543657976046038,1.3746705120852833,1.3456434650568907
2008,5215,0.03566634707574305,0.027616733375440863,0.027934600917384565,1.2914759537585494,1.2767802619133457
2009,11449,0.011791422831688356,0.015302383285574499,0.015404766170222609,0.7705612002807489,0.7654399100507712
2010,13640,0.008064516129032258,0.012547430209979947,0.012546804079743191,0.6427225331461036,0.6427546072909845
2014,36558,0.009354997538158542,0.01783253188093117,0.01775265862534821,0.5246028775174716,0.5269631853789477
2015,39627,0.007621066444595857,0.018915040262239367,0.018626078860233188,0.40291040034474623,0.4091610747373613
ALL,121861,0.013974938659620387,0.01856748237465763,0.018546140130412742,0.752656627195429,0.753522757908191
