era,split,n,observed_cure_rate,predicted_cure_rate
bubble 2005-2008,train,23172,0.4307353702744692,0.4307353702743679
bubble 2005-2008,oot,787,0.8843710292249047,0.8252770620857213
bubble 2005-2008,all,23959,0.44563629533786886,0.4436951896097131
"recovery 2009-10, 14-16",train,3715,0.6559892328398385,0.6559892328398376
"recovery 2009-10, 14-16",oot,5312,0.9698795180722891,0.8008833475344691
"recovery 2009-10, 14-16",all,9027,0.8407001218566522,0.7412531673981495
modern 2018-2025,train,9,0.4444444444444444,0.4444444444444525
modern 2018-2025,oot,8467,0.9789772056218259,0.5143283060353523
modern 2018-2025,all,8476,0.9784096271826334,0.5142541018406475
