split,n_resolved,n_liq_excluded_no_loss_data,cure_rate_observed,cure_rate_predicted,mean_realized_lgd,mean_predicted_lgd_aggregate
train,26896,1035,0.46185306365258777,0.46185306365250034,0.2715010941028595,0.28189706376382406
oot,14566,34,0.9705478511602361,0.6356311380726273,0.007362740114331245,0.11696351934975005
