liq_year_bucket,n,excess_loading,share_gt_cap,mean_severity
pre-2008,70,0.001980510773137212,0.014285714285714285,0.16666047275066376
2008-09 crash,962,0.0037045141216367483,0.02702702702702703,0.4347863495349884
2010-12 peak workout,6100,0.006393102463334799,0.05278688524590164,0.5253193378448486
2013-16 recovery,4931,0.02434365451335907,0.11437842222672885,0.5617318749427795
2017-19 calm,1001,0.02445717714726925,0.10789210789210789,0.4808025658130646
2020+ covid-modern,776,0.04172910004854202,0.07087628865979381,0.31746548414230347
